International number ID,date,Latitude of the center,Longitude of the center,Central pressure,timestamp
1512,2015-07-27 06:00:00,33.62490828753653,128.50617269566646,1016.5858191338634,1437948000
1512,2015-07-27 12:00:00,33.69650668414124,127.72243577998233,1020.4173022417062,1437969600
1512,2015-07-27 18:00:00,33.81365822730368,126.88074763990153,1024.0965555958633,1437991200
613,2006-09-20 00:00:00,46.342985111019516,140.65471376668552,999.814551582549,1158681600
613,2006-09-20 06:00:00,48.110297043265746,141.3770666973312,1006.7564383913668,1158703200
613,2006-09-20 12:00:00,49.719612964367116,142.27194476233194,1013.3389418572478,1158724800
613,2006-09-20 18:00:00,51.279412486754154,143.29029203281675,1019.8355796710784,1158746400
613,2006-09-21 00:00:00,52.84336166108915,144.40658512750088,1026.3966122485763,1158768000
205,2002-07-08 00:00:00,41.29287212714007,132.9053227586504,1003.6925790928326,1026057600
205,2002-07-08 06:00:00,42.185045321893995,133.12371256584237,1005.4844951441664,1026079200
205,2002-07-08 12:00:00,43.078893622219766,133.35692531938008,1007.3733245824769,1026100800
205,2002-07-08 18:00:00,43.975323091337486,133.60598783467202,1009.3574056421821,1026122400
205,2002-07-09 00:00:00,44.874561680990155,133.8715009237078,1011.4352478124638,1026144000
1418,2014-10-08 06:00:00,44.054466493893415,187.21310648898134,951.491577890065,1412719200
1418,2014-10-08 12:00:00,44.83538382968618,193.3205964297763,941.0542060777916,1412740800
1418,2014-10-08 18:00:00,45.528589631539944,199.56590494147986,928.5147346907252,1412762400
1418,2014-10-09 00:00:00,46.12020542993196,205.8832413265909,913.7017401488192,1412784000
1418,2014-10-09 06:00:00,46.596365388904815,212.19735543250727,896.4486945033459,1412805600
1518,2015-09-11 18:00:00,40.745322102855425,138.71549872011838,1000.1644116824027,1441965600
1518,2015-09-12 00:00:00,40.79597607835967,138.9976595179469,999.9546170849426,1441987200
1518,2015-09-12 06:00:00,41.01356061178012,139.31392623217926,999.544200722321,1442008800
1518,2015-09-12 12:00:00,41.32340703141017,139.64687897054682,999.0271725049206,1442030400
1518,2015-09-12 18:00:00,41.685123843097244,139.98724973419758,998.4546181946134,1442052000
415,2004-08-22 12:00:00,42.83600453560757,177.60795683474316,994.2585219295834,1093147200
415,2004-08-22 18:00:00,43.568010037370186,181.36031516254116,996.5601712826519,1093168800
415,2004-08-23 00:00:00,44.21740546264846,185.34834448319543,998.942524549464,1093190400
415,2004-08-23 06:00:00,44.798856863162655,189.56660074646516,1001.434201740567,1093212000
415,2004-08-23 12:00:00,45.322267235251275,194.01201011218836,1004.0572018353432,1093233600
422,2004-10-10 06:00:00,42.05676872469303,152.01702230912383,1009.5627717678872,1097359200
422,2004-10-10 12:00:00,44.371265762662006,154.21468980072325,1023.5381765225611,1097380800
422,2004-10-10 18:00:00,46.679252789104794,156.68276758657055,1038.0976684301713,1097402400
422,2004-10-11 00:00:00,49.061868234246504,159.42372211431484,1053.494138626891,1097424000
422,2004-10-11 06:00:00,51.56955056660627,162.44815552162288,1070.000759440707,1097445600
